Time_Index,Methanol_Demand_Tons_MA,Methanol_Demand_Tons_CT,Methanol_Demand_Tons_ME
1,70.3602,36.6151,14.3398
2,70.3602,36.6151,14.3398
3,70.3602,36.6151,14.3398
4,70.3602,36.6151,14.3398
5,70.3602,36.6151,14.3398
6,70.3602,36.6151,14.3398
7,70.3602,36.6151,14.3398
8,70.3602,36.6151,14.3398
9,70.3602,36.6151,14.3398
10,70.3602,36.6151,14.3398
11,70.3602,36.6151,14.3398
12,70.3602,36.6151,14.3398
13,70.3602,36.6151,14.3398
14,70.3602,36.6151,14.3398
15,70.3602,36.6151,14.3398
16,70.3602,36.6151,14.3398
17,70.3602,36.6151,14.3398
18,70.3602,36.6151,14.3398
19,70.3602,36.6151,14.3398
20,70.3602,36.6151,14.3398
21,70.3602,36.6151,14.3398
22,70.3602,36.6151,14.3398
23,70.3602,36.6151,14.3398
24,70.3602,36.6151,14.3398
25,70.3602,36.6151,14.3398
26,70.3602,36.6151,14.3398
27,70.3602,36.6151,14.3398
28,70.3602,36.6151,14.3398
29,70.3602,36.6151,14.3398
30,70.3602,36.6151,14.3398
31,70.3602,36.6151,14.3398
32,70.3602,36.6151,14.3398
33,70.3602,36.6151,14.3398
34,70.3602,36.6151,14.3398
35,70.3602,36.6151,14.3398
36,70.3602,36.6151,14.3398
37,70.3602,36.6151,14.3398
38,70.3602,36.6151,14.3398
39,70.3602,36.6151,14.3398
40,70.3602,36.6151,14.3398
41,70.3602,36.6151,14.3398
42,70.3602,36.6151,14.3398
43,70.3602,36.6151,14.3398
44,70.3602,36.6151,14.3398
45,70.3602,36.6151,14.3398
46,70.3602,36.6151,14.3398
47,70.3602,36.6151,14.3398
48,70.3602,36.6151,14.3398
49,70.3602,36.6151,14.3398
50,70.3602,36.6151,14.3398
51,70.3602,36.6151,14.3398
52,70.3602,36.6151,14.3398
53,70.3602,36.6151,14.3398
54,70.3602,36.6151,14.3398
55,70.3602,36.6151,14.3398
56,70.3602,36.6151,14.3398
57,70.3602,36.6151,14.3398
58,70.3602,36.6151,14.3398
59,70.3602,36.6151,14.3398
60,70.3602,36.6151,14.3398
61,70.3602,36.6151,14.3398
62,70.3602,36.6151,14.3398
63,70.3602,36.6151,14.3398
64,70.3602,36.6151,14.3398
65,70.3602,36.6151,14.3398
66,70.3602,36.6151,14.3398
67,70.3602,36.6151,14.3398
68,70.3602,36.6151,14.3398
69,70.3602,36.6151,14.3398
70,70.3602,36.6151,14.3398
71,70.3602,36.6151,14.3398
72,70.3602,36.6151,14.3398
73,70.3602,36.6151,14.3398
74,70.3602,36.6151,14.3398
75,70.3602,36.6151,14.3398
76,70.3602,36.6151,14.3398
77,70.3602,36.6151,14.3398
78,70.3602,36.6151,14.3398
79,70.3602,36.6151,14.3398
80,70.3602,36.6151,14.3398
81,70.3602,36.6151,14.3398
82,70.3602,36.6151,14.3398
83,70.3602,36.6151,14.3398
84,70.3602,36.6151,14.3398
85,70.3602,36.6151,14.3398
86,70.3602,36.6151,14.3398
87,70.3602,36.6151,14.3398
88,70.3602,36.6151,14.3398
89,70.3602,36.6151,14.3398
90,70.3602,36.6151,14.3398
91,70.3602,36.6151,14.3398
92,70.3602,36.6151,14.3398
93,70.3602,36.6151,14.3398
94,70.3602,36.6151,14.3398
95,70.3602,36.6151,14.3398
96,70.3602,36.6151,14.3398
97,70.3602,36.6151,14.3398
98,70.3602,36.6151,14.3398
99,70.3602,36.6151,14.3398
100,70.3602,36.6151,14.3398
101,70.3602,36.6151,14.3398
102,70.3602,36.6151,14.3398
103,70.3602,36.6151,14.3398
104,70.3602,36.6151,14.3398
105,70.3602,36.6151,14.3398
106,70.3602,36.6151,14.3398
107,70.3602,36.6151,14.3398
108,70.3602,36.6151,14.3398
109,70.3602,36.6151,14.3398
110,70.3602,36.6151,14.3398
111,70.3602,36.6151,14.3398
112,70.3602,36.6151,14.3398
113,70.3602,36.6151,14.3398
114,70.3602,36.6151,14.3398
115,70.3602,36.6151,14.3398
116,70.3602,36.6151,14.3398
117,70.3602,36.6151,14.3398
118,70.3602,36.6151,14.3398
119,70.3602,36.6151,14.3398
120,70.3602,36.6151,14.3398
121,70.3602,36.6151,14.3398
122,70.3602,36.6151,14.3398
123,70.3602,36.6151,14.3398
124,70.3602,36.6151,14.3398
125,70.3602,36.6151,14.3398
126,70.3602,36.6151,14.3398
127,70.3602,36.6151,14.3398
128,70.3602,36.6151,14.3398
129,70.3602,36.6151,14.3398
130,70.3602,36.6151,14.3398
131,70.3602,36.6151,14.3398
132,70.3602,36.6151,14.3398
133,70.3602,36.6151,14.3398
134,70.3602,36.6151,14.3398
135,70.3602,36.6151,14.3398
136,70.3602,36.6151,14.3398
137,70.3602,36.6151,14.3398
138,70.3602,36.6151,14.3398
139,70.3602,36.6151,14.3398
140,70.3602,36.6151,14.3398
141,70.3602,36.6151,14.3398
142,70.3602,36.6151,14.3398
143,70.3602,36.6151,14.3398
144,70.3602,36.6151,14.3398
145,70.3602,36.6151,14.3398
146,70.3602,36.6151,14.3398
147,70.3602,36.6151,14.3398
148,70.3602,36.6151,14.3398
149,70.3602,36.6151,14.3398
150,70.3602,36.6151,14.3398
151,70.3602,36.6151,14.3398
152,70.3602,36.6151,14.3398
153,70.3602,36.6151,14.3398
154,70.3602,36.6151,14.3398
155,70.3602,36.6151,14.3398
156,70.3602,36.6151,14.3398
157,70.3602,36.6151,14.3398
158,70.3602,36.6151,14.3398
159,70.3602,36.6151,14.3398
160,70.3602,36.6151,14.3398
161,70.3602,36.6151,14.3398
162,70.3602,36.6151,14.3398
163,70.3602,36.6151,14.3398
164,70.3602,36.6151,14.3398
165,70.3602,36.6151,14.3398
166,70.3602,36.6151,14.3398
167,70.3602,36.6151,14.3398
168,70.3602,36.6151,14.3398
169,70.3602,36.6151,14.3398
170,70.3602,36.6151,14.3398
171,70.3602,36.6151,14.3398
172,70.3602,36.6151,14.3398
173,70.3602,36.6151,14.3398
174,70.3602,36.6151,14.3398
175,70.3602,36.6151,14.3398
176,70.3602,36.6151,14.3398
177,70.3602,36.6151,14.3398
178,70.3602,36.6151,14.3398
179,70.3602,36.6151,14.3398
180,70.3602,36.6151,14.3398
181,70.3602,36.6151,14.3398
182,70.3602,36.6151,14.3398
183,70.3602,36.6151,14.3398
184,70.3602,36.6151,14.3398
185,70.3602,36.6151,14.3398
186,70.3602,36.6151,14.3398
187,70.3602,36.6151,14.3398
188,70.3602,36.6151,14.3398
189,70.3602,36.6151,14.3398
190,70.3602,36.6151,14.3398
191,70.3602,36.6151,14.3398
192,70.3602,36.6151,14.3398
193,70.3602,36.6151,14.3398
194,70.3602,36.6151,14.3398
195,70.3602,36.6151,14.3398
196,70.3602,36.6151,14.3398
197,70.3602,36.6151,14.3398
198,70.3602,36.6151,14.3398
199,70.3602,36.6151,14.3398
200,70.3602,36.6151,14.3398
201,70.3602,36.6151,14.3398
202,70.3602,36.6151,14.3398
203,70.3602,36.6151,14.3398
204,70.3602,36.6151,14.3398
205,70.3602,36.6151,14.3398
206,70.3602,36.6151,14.3398
207,70.3602,36.6151,14.3398
208,70.3602,36.6151,14.3398
209,70.3602,36.6151,14.3398
210,70.3602,36.6151,14.3398
211,70.3602,36.6151,14.3398
212,70.3602,36.6151,14.3398
213,70.3602,36.6151,14.3398
